B2,C9,674.584,359
C9,B15,540.286,376
B15,A3,755.417,437
A3,C11,684.323,376
C11,B5,535.417,351
B5,D3,679.452,404
D3,E5,559.740,289
E5,D6,430.261,282
D6,E10,1114.583,623
E10,E13,440.0,282
E13,D13,430.286,282
D13,B2,635.651,404
B2,C9,674.584,359
C9,B15,540.286,376
B15,A3,755.417,437
A3,C11,684.323,376
C11,B5,535.416,351
B5,D3,679.453,404
D3,E5,559.714,289
E5,D6,430.286,282
D6,E10,1004.558,623
E10,E13,550.26,282
E13,D13,430.286,282
D13,B2,635.651,404
B2,C9,564.609,359
C9,B15,650.261,376
B15,A3,755.417,437
A3,C11,574.296,376
C11,B5,645.443,351
B5,D3,679.453,404
D3,E5,449.740,289
E5,D6,540.260,282
D6,E10,1004.557,623
E10,E13,440.0,282
E13,D13,430.287,282
D13,B2,745.677,404
B2,C9,564.609,359
C9,B15,650.261,376
B15,A3,645.390,437
A3,C11,684.323,376
C11,B5,645.417,351
B5,D3,679.479,404
D3,E5,449.739,289
E5,D6,430.261,282
D6,E10,1114.557,623
E10,E13,440.0,282
E13,D13,430.286,282
D13,B2,635.704,404
B2,C9,674.583,359
C9,B15,650.260,376
B15,A3,645.443,437
A3,C11,684.271,376
C11,B5,535.442,351
B5,D3,679.480,404
D3,E5,559.713,289
E5,D6,430.261,282
D6,E10,1114.567,623
E10,E13,439.990,282
E13,D13,430.286,282
D13,B2,635.677,404
B2,C9,674.584,359
C9,B15,540.260,376
B15,A3,755.443,437
A3,C11,684.297,376
C11,B5,535.442,351
B5,D3,679.479,404
D3,E5,449.688,289
E5,D6,540.286,282
D6,E10,1004.584,623
E10,E13,440.0,282
E13,D13,540.260,282
CHANGING TO 8 HIGH,,0.0,0
CHANGING TO 8 HIGH,,0.0,0
CHANGING TO 8 HIGH,,0.0,0
CHANGING TO 8 HIGH,,0.0,0
CHANGING TO 8 HIGH,,0.0,0
CHANGING TO 8 HIGH,,0.0,0
CHANGING TO 8 HIGH,,0.0,0
CHANGING TO 8 HIGH,,0.0,0
CHANGING TO 8 HIGH,,0.0,0
CHANGING TO 8 HIGH,,0.0,0
CHANGING TO 8 HIGH,,0.0,0
CHANGING TO 8 HIGH,,0.0,0
D13,B2,1515.677,404
B2,C9,1444.557,359
C9,B15,1530.286,376
B15,A3,1635.417,437
A3,C11,1564.297,376
C11,B5,1305.442,351
B5,D3,1669.453,404
D3,E5,1109.740,289
E5,D6,1090.234,282
D6,E10,2544.584,623
E10,E13,1100.26,282
E13,D13,980.260,282
D13,B2,1625.677,404
B2,C9,1444.583,359
C9,B15,1420.287,376
B15,A3,1745.416,437
A3,C11,1564.323,376
C11,B5,1305.391,351
B5,D3,1669.453,404
D3,E5,1109.765,289
E5,D6,1090.261,282
D6,E10,2434.583,623
E10,E13,1100.0,282
E13,D13,1090.286,282
D13,B2,1625.678,404
B2,C9,1444.583,359
C9,B15,1420.260,376
B15,A3,1745.391,437
A3,C11,1454.349,376
C11,B5,1415.416,351
B5,D3,1559.453,404
D3,E5,1219.766,289
E5,D6,1090.234,282
D6,E10,2434.584,623
E10,E13,1099.974,282
E13,D13,1090.286,282
D13,B2,1515.703,404
B2,C9,1444.583,359
C9,B15,1530.235,376
B15,A3,1635.416,437
A3,C11,1564.323,376
C11,B5,1305.443,351
B5,D3,1669.453,404
D3,E5,1109.713,289
E5,D6,1200.313,282
D6,E10,2434.557,623
E10,E13,1100.0,282
E13,D13,1090.234,282

