E14,E9,550.60,282
E9,D5,865.434,703
D5,E6,559.809,282
E6,D4,320.305,289
D4,B6,530.590,404
B6,C12,564.654,351
C12,A4,525.651,376
A4,B16,674.602,437
B16,C10,449.784,483
C10,B1,535.460,359
B1,D14,574.341,404
D14,E14,339.732,282
E14,E9,550.44,282
E9,D5,865.434,703
D5,E6,559.784,282
E6,D4,320.304,289
D4,B6,530.591,404
B6,C12,564.628,351
C12,A4,525.677,376
A4,B16,674.601,437
B16,C10,559.740,483
C10,B1,535.486,359
B1,D14,574.341,404
D14,E14,339.758,282
E14,E9,550.43,282
E9,D5,865.434,703
D5,E6,559.784,282
E6,D4,320.304,289
D4,B6,530.591,404
B6,C12,564.628,351
C12,A4,525.676,376
A4,B16,674.627,437
B16,C10,449.757,483
C10,B1,535.487,359
B1,D14,574.341,404
D14,E14,339.757,282
E14,E9,550.17,282
E9,D5,865.435,703
D5,E6,559.809,282
E6,D4,320.305,289
D4,B6,530.617,404
B6,C12,564.653,351
C12,A4,525.677,376
A4,B16,674.628,437
B16,C10,559.713,483
C10,B1,535.487,359
B1,D14,574.315,404
D14,E14,339.757,282
E14,E9,550.70,282
E9,D5,975.365,703
D5,E6,559.757,282
E6,D4,430.286,289
D4,B6,530.591,404
B6,C12,454.653,351
C12,A4,525.695,376
A4,B16,674.627,437
B16,C10,559.714,483
C10,B1,535.487,359
B1,D14,684.296,404
D14,E14,449.740,282
E14,E9,550.18,282
E9,D5,975.442,703
D5,E6,559.784,282
E6,D4,430.260,289
D4,B6,530.591,404
B6,C12,454.602,351
C12,A4,525.747,376
A4,B16,674.627,437
B16,C10,559.714,483
C10,B1,535.486,359
B1,D14,684.271,404
D14,E14,449.766,282
E14,E9,550.18,282
E9,D5,975.416,703
D5,E6,559.810,282
E6,D4,430.234,289
D4,B6,530.539,404
B6,C12,454.653,351
C12,A4,525.721,376
A4,B16,674.653,437
B16,C10,559.713,483
C10,B1,535.487,359
B1,D14,684.323,404
D14,E14,449.714,282
E14,E9,550.43,282
E9,D5,975.443,703
D5,E6,559.757,282
E6,D4,430.287,289
D4,B6,530.539,404
B6,C12,454.653,351
C12,A4,525.696,376
A4,B16,674.609,437
B16,C10,559.783,483
C10,B1,425.435,359
B1,D14,574.393,404
D14,E14,449.783,282
E14,E9,550.0,282
E9,D5,975.461,703
D5,E6,559.739,282
E6,D4,430.331,289
D4,B6,640.520,404
B6,C12,564.610,351
C12,A4,525.721,376
A4,B16,674.584,437
B16,C10,559.810,483
C10,B1,535.390,359
B1,D14,574.366,404
D14,E14,339.783,282
E14,E9,550.70,282
E9,D5,975.461,703
D5,E6,559.713,282
E6,D4,320.331,289
D4,B6,530.565,404
B6,C12,564.628,351
C12,A4,525.677,376
A4,B16,674.601,437
B16,C10,559.810,483
C10,B1,535.390,359
B1,D14,574.367,404
D14,E14,339.758,282
E14,E9,550.70,282
E9,D5,865.460,703
D5,E6,559.758,282
E6,D4,320.304,289
D4,B6,530.565,404
B6,C12,564.602,351
C12,A4,525.703,376
A4,B16,674.601,437
B16,C10,559.730,483
C10,B1,535.461,359
B1,D14,684.323,404
D14,E14,339.758,282
E14,E9,550.43,282
E9,D5,975.417,703
D5,E6,559.784,282
E6,D4,430.260,289
D4,B6,530.591,404
B6,C12,454.601,351
C12,A4,525.747,376
A4,B16,674.601,437
B16,C10,559.730,483
C10,B1,535.487,359
B1,D14,684.297,404
D14,E14,449.740,282
E14,E9,549.999,282
E9,D5,975.487,703
D5,E6,559.740,282
E6,D4,430.305,289
D4,B6,640.547,404
B6,C12,564.557,351
C12,A4,525.747,376
A4,B16,674.584,437
B16,C10,559.748,483
C10,B1,535.451,359
B1,D14,574.341,404
D14,E14,339.783,282
E14,E9,550.18,282
E9,D5,865.486,703
D5,E6,559.783,282
E6,D4,320.305,289
D4,B6,530.591,404
B6,C12,454.601,351
C12,A4,525.747,376
A4,B16,674.628,437
B16,C10,559.713,483
C10,B1,535.486,359
B1,D14,684.271,404
D14,E14,449.766,282
E14,E9,549.974,282
E9,D5,975.460,703
D5,E6,559.766,282
E6,D4,430.278,289
D4,B6,640.547,404
B6,C12,564.610,351
C12,A4,415.721,376
A4,B16,674.627,437
B16,C10,559.757,483
C10,B1,535.443,359
B1,D14,574.315,404
D14,E14,339.758,282
E14,E9,550.17,282
E9,D5,865.434,703
D5,E6,559.758,282
E6,D4,430.234,289
D4,B6,530.539,404
B6,C12,454.647,351
C12,A4,525.694,376
A4,B16,564.653,437
B16,C10,559.757,483
C10,B1,425.461,359
B1,D14,574.385,404
D14,E14,449.758,282
E14,E9,549.999,282
E9,D5,975.487,703
D5,E6,559.713,282
E6,D4,320.279,289
D4,B6,530.538,404
B6,C12,564.646,351
C12,A4,525.658,376
A4,B16,674.654,437
B16,C10,559.809,483
C10,B1,535.391,359
B1,D14,574.383,404
D14,E14,339.783,282
E14,E9,550.44,282
E9,D5,975.443,703
D5,E6,559.757,282
E6,D4,430.313,289
D4,B6,530.564,404
B6,C12,454.653,351
C12,A4,525.721,376
A4,B16,674.575,437
B16,C10,559.810,483
C10,B1,425.434,359
B1,D14,574.368,404
D14,E14,449.757,282
E14,E9,550.14,282
E9,D5,975.461,703
D5,E6,559.713,282
E6,D4,320.330,289
D4,B6,530.565,404
B6,C12,564.628,351
C12,A4,525.676,376
A4,B16,674.593,437
B16,C10,559.774,483
C10,B1,535.434,359
B1,D14,684.323,404
D14,E14,449.714,282
E14,E9,550.26,282
E9,D5,975.460,703
D5,E6,559.714,282
E6,D4,430.330,289
D4,B6,640.521,404
B6,C12,564.584,351
C12,A4,415.748,376
A4,B16,674.601,437
B16,C10,559.783,483
C10,B1,535.417,359
B1,D14,574.367,404
D14,E14,339.757,282
E14,E9,550.69,282
E9,D5,975.417,703
D5,E6,559.783,282
E6,D4,430.261,289
D4,B6,530.591,404
B6,C12,454.601,351
C12,A4,525.747,376
A4,B16,674.558,437
B16,C10,559.783,483
C10,B1,425.461,359
B1,D14,574.341,404
D14,E14,339.757,282
E14,E9,550.44,282
E9,D5,865.461,703
D5,E6,559.783,282
E6,D4,320.305,289
D4,B6,530.591,404
B6,C12,454.601,351
C12,A4,525.747,376
A4,B16,564.601,437
B16,C10,559.783,483
C10,B1,425.460,359
B1,D14,574.340,404
D14,E14,449.783,282
E14,E9,550.0,282
E9,D5,975.486,703
D5,E6,559.740,282
E6,D4,320.304,289
D4,B6,530.591,404
B6,C12,564.602,351
C12,A4,525.703,376
A4,B16,674.627,437
B16,C10,559.714,483
C10,B1,535.486,359
B1,D14,684.297,404
D14,E14,449.740,282
E14,E9,440.44,282
E9,D5,975.486,703
D5,E6,559.740,282
E6,D4,430.304,289

