D13,B2,1515.677,404
B2,C9,1334.583,359
C9,B15,1420.290,376
B15,A3,1635.387,437
A3,C11,1454.349,376
C11,B5,1305.417,351
B5,D3,1559.427,404
D3,E5,1109.739,289
E5,D6,1420.287,376
D6,E10,2324.583,633
E10,E13,1429.974,376
E13,D13,1090.260,282
D13,B2,1515.729,404
B2,C9,1334.558,359
C9,B15,1420.264,376
B15,A3,1635.439,437
A3,C11,1454.296,376
C11,B5,1305.443,351
B5,D3,1559.453,404
D3,E5,1109.740,289
E5,D6,1420.234,376
D6,E10,2324.609,633
E10,E13,1430.0,376
E13,D13,1090.261,282
D13,B2,1405.677,404
B2,C9,1444.609,359
C9,B15,1420.238,376
B15,A3,1635.439,437
A3,C11,1454.297,376
C11,B5,1305.417,351
B5,D3,1559.479,404
D3,E5,1109.739,289
E5,D6,1420.261,376
D6,E10,2324.557,633
E10,E13,1430.26,376
E13,D13,980.286,282
D13,B2,1515.651,404
B2,C9,1444.583,359
C9,B15,1310.291,376
B15,A3,1745.387,437
A3,C11,1344.348,376
C11,B5,1415.417,351
B5,D3,1449.453,404
D3,E5,1109.714,289
E5,D6,1420.312,376
D6,E10,2434.557,633
E10,E13,1320.0,376
E13,D13,1090.261,282
D13,B2,1515.703,404
B2,C9,1334.557,359
C9,B15,1420.264,376
B15,A3,1635.439,437
A3,C11,1454.297,376
C11,B5,1305.417,351
B5,D3,1559.479,404
D3,E5,1109.739,289
E5,D6,1420.260,376
D6,E10,2324.558,633
E10,E13,1430.26,376
E13,D13,1090.260,282
D13,B2,1515.677,404

