noopt,nocache,R,4,255
noopt,nocache,R,64,340
noopt,nocache,R,256,602
noopt,nocache,S,4,258
noopt,nocache,S,64,344
noopt,nocache,S,256,606

noopt,dcache,R,4,241
noopt,dcache,R,64,293
noopt,dcache,R,256,460
noopt,dcache,S,4,242
noopt,dcache,S,64,282
noopt,dcache,S,256,409

noopt,icache,R,4,222
noopt,icache,R,64,305
noopt,icache,R,256,566
noopt,icache,S,4,228
noopt,icache,S,64,310
noopt,icache,S,256,571

noopt,bcache,R,4,8
noopt,bcache,R,64,10
noopt,bcache,R,256,15
noopt,bcache,S,4,9
noopt,bcache,S,64,11
noopt,bcache,S,256,17

opt,nocache,R,4,85
opt,nocache,R,64,84
opt,nocache,R,256,89
opt,nocache,S,4,86
opt,nocache,S,64,85
opt,nocache,S,256,90

opt,dcache,R,4,82
opt,dcache,R,64,81
opt,dcache,R,256,86
opt,dcache,S,4,82
opt,dcache,S,64,82
opt,dcache,S,256,87

opt,icache,R,4,19
opt,icache,R,64,19
opt,icache,R,256,20
opt,icache,S,4,20
opt,icache,S,64,20
opt,icache,S,256,21

opt,bcache,R,4,2
opt,bcache,R,64,2
opt,bcache,R,256,2
opt,bcache,S,4,2
opt,bcache,S,64,2
opt,bcache,S,256,2
