C10,B1,1415.443,359
B1,D14,1564.296,404
D14,E14,1109.740,282
E14,E9,1540.0,376
E9,D5,2405.416,633
D5,E6,1439.714,376
E6,D4,1090.286,289
D4,B6,1630.547,404
B6,C12,1334.557,351
C12,A4,1515.704,376
A4,B16,1664.560,437
B16,C10,1549.762,376
C10,B1,1415.417,359
B1,D14,1564.271,404
D14,E14,1109.739,282
E14,E9,1540.26,376
E9,D5,2405.417,633
D5,E6,1549.739,376
E6,D4,1090.261,289
D4,B6,1520.521,404
B6,C12,1444.609,351
C12,A4,1405.677,376
A4,B16,1774.587,437
B16,C10,1439.710,376
C10,B1,1415.416,359
B1,D14,1564.323,404
D14,E14,1219.740,282
E14,E9,1429.974,376
E9,D5,2405.468,633
D5,E6,1549.714,376
E6,D4,1090.260,289
D4,B6,1520.521,404
B6,C12,1444.609,351
C12,A4,1405.651,376
A4,B16,1774.613,437
B16,C10,1549.710,376
C10,B1,1305.443,359
B1,D14,1674.297,404
D14,E14,1109.739,282
E14,E9,1430.26,376
E9,D5,2515.391,633
D5,E6,1439.713,376
E6,D4,1090.287,289
D4,B6,1630.547,404
B6,C12,1334.557,351
C12,A4,1515.703,376
A4,B16,1664.561,437
B16,C10,1549.762,376
C10,B1,1415.416,359
B1,D14,1564.271,404
D14,E14,1109.740,282
E14,E9,1540.26,376
E9,D5,2405.416,633
D5,E6,1439.740,376
E6,D4,1200.260,289
D4,B6,1520.521,404
B6,C12,1444.609,351
C12,A4,1405.677,376
A4,B16,1774.587,437
B16,C10,1439.710,376
C10,B1,1415.417,359
B1,D14,1564.323,404
D14,E14,1109.739,282
E14,E9,1540.26,376

